job_title,company_name,location,salary,skills,description
Cloud Architect,Wipro,Mumbai,8 LPA - 14 LPA,"java, spring boot","We are hiring a Cloud Architect for our Wipro team located in Mumbai. Candidate must have experience in: java, spring boot."
Python Developer,Wipro,Hyderabad,10 LPA - 20 LPA,"machine learning, tensorflow, numpy","We are hiring a Python Developer for our Wipro team located in Hyderabad. Candidate must have experience in: machine learning, tensorflow, numpy."
Full Stack Developer,Tech Mahindra,Hyderabad,8 LPA - 14 LPA,"azure, devops","We are hiring a Full Stack Developer for our Tech Mahindra team located in Hyderabad. Candidate must have experience in: azure, devops."
Backend Developer,Tech Mahindra,Remote,8 LPA - 14 LPA,"html, css, javascript","We are hiring a Backend Developer for our Tech Mahindra team located in Remote. Candidate must have experience in: html, css, javascript."
DevOps Engineer,Infosys,Chennai,15 LPA - 30 LPA,"azure, devops","We are hiring a DevOps Engineer for our Infosys team located in Chennai. Candidate must have experience in: azure, devops."
DevOps Engineer,Capgemini,Mumbai,8 LPA - 14 LPA,"devops, ci/cd, linux","We are hiring a DevOps Engineer for our Capgemini team located in Mumbai. Candidate must have experience in: devops, ci/cd, linux."
AI Engineer,Microsoft,Hyderabad,6 LPA - 10 LPA,"deep learning, pytorch","We are hiring a AI Engineer for our Microsoft team located in Hyderabad. Candidate must have experience in: deep learning, pytorch."
Software Engineer,Accenture,Remote,6 LPA - 10 LPA,"data analysis, excel, tableau","We are hiring a Software Engineer for our Accenture team located in Remote. Candidate must have experience in: data analysis, excel, tableau."
Data Analyst,Infosys,Delhi,4 LPA - 6 LPA,"html, css, javascript","We are hiring a Data Analyst for our Infosys team located in Delhi. Candidate must have experience in: html, css, javascript."
Full Stack Developer,Wipro,Hyderabad,8 LPA - 14 LPA,"html, css, javascript","We are hiring a Full Stack Developer for our Wipro team located in Hyderabad. Candidate must have experience in: html, css, javascript."
Frontend Developer,Google,Chennai,10 LPA - 20 LPA,"html, css, javascript","We are hiring a Frontend Developer for our Google team located in Chennai. Candidate must have experience in: html, css, javascript."
Software Engineer,Wipro,Delhi,10 LPA - 20 LPA,"python, sql, pandas","We are hiring a Software Engineer for our Wipro team located in Delhi. Candidate must have experience in: python, sql, pandas."
Backend Developer,TCS,Remote,4 LPA - 6 LPA,"aws, docker, kubernetes","We are hiring a Backend Developer for our TCS team located in Remote. Candidate must have experience in: aws, docker, kubernetes."
ML Engineer,Cognizant,Bangalore,3 LPA - 5 LPA,"python, sql, pandas","We are hiring a ML Engineer for our Cognizant team located in Bangalore. Candidate must have experience in: python, sql, pandas."
Full Stack Developer,Capgemini,Mumbai,6 LPA - 10 LPA,"data analysis, excel, tableau","We are hiring a Full Stack Developer for our Capgemini team located in Mumbai. Candidate must have experience in: data analysis, excel, tableau."
Software Engineer,Cognizant,Bangalore,10 LPA - 20 LPA,"machine learning, tensorflow, numpy","We are hiring a Software Engineer for our Cognizant team located in Bangalore. Candidate must have experience in: machine learning, tensorflow, numpy."
Backend Developer,Google,Delhi,3 LPA - 5 LPA,"data analysis, excel, tableau","We are hiring a Backend Developer for our Google team located in Delhi. Candidate must have experience in: data analysis, excel, tableau."
Software Engineer,TCS,Bangalore,3 LPA - 5 LPA,"azure, devops","We are hiring a Software Engineer for our TCS team located in Bangalore. Candidate must have experience in: azure, devops."
Frontend Developer,Accenture,Hyderabad,3 LPA - 5 LPA,"javascript, react, css","We are hiring a Frontend Developer for our Accenture team located in Hyderabad. Candidate must have experience in: javascript, react, css."
Software Engineer,Tech Mahindra,Pune,3 LPA - 5 LPA,"javascript, react, css","We are hiring a Software Engineer for our Tech Mahindra team located in Pune. Candidate must have experience in: javascript, react, css."
Data Analyst,Microsoft,Remote,15 LPA - 30 LPA,"html, css, javascript","We are hiring a Data Analyst for our Microsoft team located in Remote. Candidate must have experience in: html, css, javascript."
Full Stack Developer,Cognizant,Pune,4 LPA - 6 LPA,"html, css, javascript","We are hiring a Full Stack Developer for our Cognizant team located in Pune. Candidate must have experience in: html, css, javascript."
AI Engineer,Accenture,Chennai,4 LPA - 6 LPA,"javascript, react, css","We are hiring a AI Engineer for our Accenture team located in Chennai. Candidate must have experience in: javascript, react, css."
Backend Developer,Capgemini,Chennai,4 LPA - 6 LPA,"java, spring boot","We are hiring a Backend Developer for our Capgemini team located in Chennai. Candidate must have experience in: java, spring boot."
Python Developer,Google,Hyderabad,3 LPA - 5 LPA,"html, css, javascript","We are hiring a Python Developer for our Google team located in Hyderabad. Candidate must have experience in: html, css, javascript."
Cloud Architect,Infosys,Remote,10 LPA - 20 LPA,"javascript, react, css","We are hiring a Cloud Architect for our Infosys team located in Remote. Candidate must have experience in: javascript, react, css."
